time,pb,toothpaste,cv,tp,evil,oj,age,passion,exp
10/20/2013 15:16:09,Crunchy,Top of the tube,Chocolate,Over,7,Pulp,35,2,12
10/20/2013 15:16:24,Smooth,Bottom of the tube,Chocolate,Over,2,No pulp,30,8,1
10/20/2013 15:16:48,Smooth,Top of the tube,Chocolate,Under,7,Pulp,29,6,10
10/20/2013 15:17:39,Crunchy,Bottom of the tube,Vanilla,Over,3,No pulp,40,6,4
10/20/2013 15:22:30,Smooth,Bottom of the tube,Chocolate,Over,3,Pulp,33,3,15
10/20/2013 15:28:16,Smooth,Top of the tube,Chocolate,Over,4,Pulp,34,7,16
10/20/2013 15:32:51,Smooth,Top of the tube,Chocolate,Over,4,Pulp,29,3,6
10/20/2013 15:34:49,Crunchy,Top of the tube,Vanilla,Over,3,No pulp,29,7,3
10/20/2013 15:36:10,Smooth,Bottom of the tube,Vanilla,Over,1,Pulp,32,6,16
10/20/2013 15:37:18,Crunchy,Bottom of the tube,Chocolate,Over,2,Pulp,55,6,0
10/20/2013 15:39:38,Crunchy,Bottom of the tube,Chocolate,Over,7,Pulp,30,7,3
10/20/2013 16:00:46,Smooth,Bottom of the tube,Vanilla,Over,8,No pulp,27,7,7
10/20/2013 16:01:19,Crunchy,Top of the tube,Chocolate,Over,2,No pulp,23,8,15
10/20/2013 16:06:25,Crunchy,Top of the tube,Vanilla,Over,3,No pulp,26,7,7
10/20/2013 16:07:51,Crunchy,Bottom of the tube,Chocolate,Over,3,Pulp,27,7,0
10/20/2013 16:12:50,Crunchy,Bottom of the tube,Chocolate,Over,3,Pulp,,7,7
10/20/2013 16:12:57,Crunchy,Top of the tube,Vanilla,Under,3,Pulp,42,6,1
10/20/2013 16:18:00,Crunchy,Bottom of the tube,Chocolate,Over,4,No pulp,27,3,1
10/20/2013 16:36:29,Crunchy,Bottom of the tube,Chocolate,Under,9,Pulp,46,8,20
10/20/2013 16:38:44,Smooth,Bottom of the tube,Vanilla,Over,4,Pulp,26,7,8
